caption,label
"Ba người nâng ly bia trên sân thượng",vi_pham_ruou_bia
"Nhóm bạn cụng ly bia trong quán bar đông người",vi_pham_ruou_bia
"Người đàn ông uống rượu trước logo thương hiệu",vi_pham_ruou_bia
"Quảng cáo hiển thị chai rượu và dòng chữ 'niềm vui bất tận'",vi_pham_ruou_bia
"Người phụ nữ rót bia trong bữa tiệc ngoài trời",vi_pham_ruou_bia
"Cặp đôi cười nói trong khi cầm chai bia",vi_pham_ruou_bia
"Người đàn ông nằm say trên bàn với lon bia",vi_pham_ruou_bia
"Ly rượu vang xuất hiện trong bữa tối sang trọng",vi_pham_ruou_bia

"Hai người đàn ông đánh nhau giành sản phẩm",vi_pham_bao_luc
"Người đàn ông tát bạn trong quảng cáo nước hoa",vi_pham_bao_luc
"Nhóm thanh niên đuổi đánh nhau trên đường",vi_pham_bao_luc
"Người dùng dao chặt đồ vật trong cảnh quảng cáo",vi_pham_bao_luc
"Đứa trẻ ném đồ chơi vào người khác",vi_pham_bao_luc
"Quảng cáo mô tả cảnh đua xe trái phép",vi_pham_bao_luc
"Nhân vật đập bàn và la hét với đồng nghiệp",vi_pham_bao_luc

"Cô gái mặc bikini tạo dáng bên xe hơi",vi_pham_nhay_cam
"Người mẫu mặc váy ngắn nằm trên giường quảng cáo nước hoa",vi_pham_nhay_cam
"Cảnh quay người phụ nữ tắm biển trong bộ đồ hở hang",vi_pham_nhay_cam
"Người mẫu tạo dáng gợi cảm trong ánh đèn mờ",vi_pham_nhay_cam
"Cô gái cười quyến rũ cầm chai sữa tắm",vi_pham_nhay_cam
"Cảnh cận cơ thể người phụ nữ trong quảng cáo thời trang",vi_pham_nhay_cam
"Người đàn ông cởi trần chụp ảnh cùng sản phẩm",vi_pham_nhay_cam

"Thầy cúng đang cầu may mắn cho cửa hàng",vi_pham_ton_giao
"Người đàn ông quỳ trước tượng Phật để quảng cáo nhang",vi_pham_ton_giao
"Quảng cáo mô tả buổi lễ cầu tài tại chùa",vi_pham_ton_giao
"Người mặc áo cà sa đọc kinh trước máy quay",vi_pham_ton_giao
"Diễn viên thực hiện nghi thức trừ tà để bán sản phẩm",vi_pham_ton_giao
"Quảng cáo nói 'mua sản phẩm này sẽ được thần linh phù hộ'",vi_pham_ton_giao

"Bác sĩ nói loại kem này chữa khỏi mọi bệnh",vi_pham_sai_lech
"Quảng cáo khẳng định thuốc giúp giảm cân trong 1 ngày",vi_pham_sai_lech
"Video nói uống nước này sẽ sống thọ 120 năm",vi_pham_sai_lech
"Giọng nói quảng cáo khẳng định hiệu quả tuyệt đối 100%",vi_pham_sai_lech
"Quảng cáo nói đây là sản phẩm tốt nhất thế giới",vi_pham_sai_lech
"Người phát ngôn nói 'dùng là khỏi bệnh ung thư'",vi_pham_sai_lech
"Người dẫn chương trình nói 'bảo đảm hoàn tiền 200%'",vi_pham_sai_lech

"Người phụ nữ đang giới thiệu sản phẩm dưỡng da",ok
"Gia đình ăn cơm vui vẻ bên bàn ăn",ok
"Đôi vợ chồng cùng nấu ăn trong gian bếp",ok
"Trẻ em cười đùa khi uống sữa",ok
"Người đàn ông đang lái xe ra khỏi nhà",ok
"Cô gái tươi cười chào khách hàng tại quầy",ok
"Nhóm sinh viên chụp ảnh tốt nghiệp",ok
